

Output log file /home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_source_ss.txt created
File used to run the experiment : /home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py
Model files are stored in /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_source_ss directory

Settings: absolute_base_path=/home/scratch/sourabhbalgi/prj/man/code, absolute_pyfile_path=/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py, args=Namespace(absolute_base_path='/home/scratch/sourabhbalgi/prj/man/code', absolute_pyfile_path='/home/scratch/sourabhbalgi/prj/man/code/SB_lang_00_ss.py', batch_size=128, buffer_size=600, ckpt_dir='/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_source_ss', dataroot='./data/prep-amazon/amazon.pkl', epoch_size='source', exp='dvd_electronics', feature_num=5000, gpus='6', learning_rate=0.001, load_checkpoint='', log_file='/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_source_ss.txt', logs_dir='/home/scratch/sourabhbalgi/prj/man/code/./logs', lr_decay_period=30, lr_decay_rate=0.6318, lr_decay_type='geometric', n_test_samples=500, network_type='man', num_epochs=300, ramp=0, seed=1126, use_bn=False, use_drop=True, use_gumbel=False, use_sampler=True, weight_init='none', workers=2), batch_size=128, ckpt_dir=/home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_source_ss, dataroot=/home/scratch/sourabhbalgi/prj/man/code/./data/prep-amazon/amazon.pkl, epoch_size=source, exp=dvd_electronics, experiment=dvd_electronics, gpus=6, hostname=19_06_01_15_51_47, lambda_sal=0.0, lambda_ssl=1.0, lambda_sul=0.0, lambda_tal=0.0, lambda_tsl=0.0, lambda_tul=0.0, learning_rate=0.001, log_file=/home/scratch/sourabhbalgi/prj/man/code/./logs/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_source_ss.txt, log_num=0, logs_dir=/home/scratch/sourabhbalgi/prj/man/code/./logs, machinename=cl-gpusrv1.nis.csa.iisc.ac.in, num_epochs=300, ramp_sup_weight_in_list=[1.0], ramp_unsup_weight_in_list=[1.0], seed=1126, simul_train_src_tgt=True, timestamp=19_06_01_15_51_47, use_gpu=True, use_ramp_sup=False, use_ramp_unsup=False, use_sampler=True, workers=2
num_gpu: 1, GPU-ID: 6
current cuda device = 0
using cuda device = 0

SRC : DVD: train: count=2000, test: count=3586
TGT : ELECTRONICS: train: count=2000, test: count=5681

Number of classes : 2

Loaded  Source and Target data respectively

Using epoch_size : source
prior_src_train : tensor([0.4802, 0.5198], device='cuda:0')
prior_tgt_train : tensor([0.5229, 0.4771], device='cuda:0')

Building Network from MAN ...
Encoder : DataParallel(
  (module): Encoder(
    (net): Sequential(
      (f-linear-0): Linear(in_features=5000, out_features=1000, bias=True)
      (f-relu-0): ReLU()
      (f-linear-1): Linear(in_features=1000, out_features=500, bias=True)
      (f-relu-1): ReLU()
      (f-linear-final): Linear(in_features=500, out_features=128, bias=True)
      (f-relu-final): ReLU()
    )
  )
)
Classifier : DataParallel(
  (module): Classifier(
    (net): Sequential(
      (p-dropout-0): Dropout(p=0.5)
      (p-linear-final): Linear(in_features=128, out_features=2, bias=True)
    )
  )
)
Network Built ...

optimizerE : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
optimizerC : Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Training...
Note : Simultaneous training of source and target domains. No swapping after e epochs ...
Checkpoint directory to store files for current run : /home/scratch/sourabhbalgi/prj/man/code/./checkpoint/19_06_01_15_51_47_cl-gpusrv1.nis.csa.iisc.ac.in_dvd_electronics_0_source_ss
**++ E:000/300 #B:015, t=000.11m, L=00.5737, ACC : S_TRN= 89.84%, T_TRN= 72.19%, S_TST= 80.09%, T_TST= 74.58%
**   E:001/300 #B:015, t=000.69m, L=00.2209, ACC : S_TRN= 95.73%, T_TRN= 74.43%, S_TST= 81.29%, T_TST= 73.98%
     E:002/300 #B:015, t=000.97m, L=00.1125, ACC : S_TRN= 97.55%, T_TRN= 69.58%, S_TST= 79.95%, T_TST= 70.92%
     E:039/300 #B:015, t=009.28m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.65%, S_TST= 81.96%, T_TST= 74.53%
     E:040/300 #B:015, t=009.49m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.92%, S_TST= 81.99%, T_TST= 74.51%
     E:041/300 #B:015, t=009.73m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.80%, S_TST= 81.93%, T_TST= 74.51%
     E:042/300 #B:015, t=009.95m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.28%, S_TST= 81.99%, T_TST= 74.41%
     E:043/300 #B:015, t=010.17m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.44%, S_TST= 82.04%, T_TST= 74.27%
     E:044/300 #B:015, t=010.42m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.29%, S_TST= 82.01%, T_TST= 74.25%
     E:045/300 #B:015, t=010.63m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.85%, S_TST= 82.01%, T_TST= 74.30%
     E:046/300 #B:015, t=010.90m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.55%, S_TST= 82.01%, T_TST= 74.23%
     E:047/300 #B:015, t=011.13m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.07%, S_TST= 82.01%, T_TST= 74.32%
     E:048/300 #B:015, t=011.34m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.32%, S_TST= 82.04%, T_TST= 74.27%
     E:049/300 #B:015, t=011.56m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.60%, S_TST= 81.99%, T_TST= 74.44%
     E:050/300 #B:015, t=011.73m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.45%, S_TST= 82.01%, T_TST= 74.41%
     E:051/300 #B:015, t=011.94m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.97%, S_TST= 82.01%, T_TST= 74.27%
     E:052/300 #B:015, t=012.16m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.86%, S_TST= 82.04%, T_TST= 74.28%
     E:053/300 #B:015, t=012.39m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.55%, S_TST= 82.07%, T_TST= 74.27%
     E:054/300 #B:015, t=012.61m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 75.21%, S_TST= 82.01%, T_TST= 74.39%
     E:055/300 #B:015, t=012.82m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.81%, S_TST= 82.01%, T_TST= 74.35%
     E:056/300 #B:015, t=013.02m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.91%, S_TST= 82.04%, T_TST= 74.30%
     E:057/300 #B:015, t=013.28m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.28%, S_TST= 82.01%, T_TST= 74.42%
  ++ E:058/300 #B:015, t=013.52m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.33%, S_TST= 82.12%, T_TST= 74.65%
     E:059/300 #B:015, t=013.91m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.65%, S_TST= 82.10%, T_TST= 74.63%
  ++ E:060/300 #B:015, t=014.14m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.22%, S_TST= 82.12%, T_TST= 74.71%
  ++ E:061/300 #B:015, t=014.55m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.29%, S_TST= 82.12%, T_TST= 74.74%
     E:062/300 #B:015, t=014.92m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.48%, S_TST= 82.10%, T_TST= 74.72%
     E:063/300 #B:015, t=015.13m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.18%, S_TST= 82.12%, T_TST= 74.71%
     E:064/300 #B:015, t=015.34m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 75.10%, S_TST= 82.10%, T_TST= 74.71%
     E:065/300 #B:015, t=015.57m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.39%, S_TST= 82.10%, T_TST= 74.65%
     E:066/300 #B:015, t=015.80m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.01%, S_TST= 82.07%, T_TST= 74.65%
     E:067/300 #B:015, t=016.01m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 71.93%, S_TST= 81.99%, T_TST= 74.63%
     E:068/300 #B:015, t=016.25m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.96%, S_TST= 81.99%, T_TST= 74.60%
     E:069/300 #B:015, t=016.47m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.27%, S_TST= 81.99%, T_TST= 74.62%
     E:070/300 #B:015, t=016.69m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.43%, S_TST= 81.96%, T_TST= 74.60%
     E:071/300 #B:015, t=016.90m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 71.93%, S_TST= 81.96%, T_TST= 74.56%
     E:072/300 #B:015, t=017.11m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.55%, S_TST= 82.04%, T_TST= 74.55%
     E:073/300 #B:015, t=017.34m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.02%, S_TST= 82.04%, T_TST= 74.56%
     E:074/300 #B:015, t=017.57m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.45%, S_TST= 81.99%, T_TST= 74.55%
     E:075/300 #B:015, t=017.81m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.81%, S_TST= 81.99%, T_TST= 74.56%
     E:076/300 #B:015, t=018.06m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.17%, S_TST= 82.01%, T_TST= 74.55%
     E:077/300 #B:015, t=018.30m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.64%, S_TST= 82.04%, T_TST= 74.55%
     E:078/300 #B:015, t=018.52m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.65%, S_TST= 82.04%, T_TST= 74.55%
     E:079/300 #B:015, t=018.73m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.18%, S_TST= 82.04%, T_TST= 74.60%
     E:080/300 #B:015, t=018.94m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.08%, S_TST= 82.04%, T_TST= 74.58%
     E:081/300 #B:015, t=019.15m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.24%, S_TST= 82.01%, T_TST= 74.58%
     E:082/300 #B:015, t=019.36m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.02%, S_TST= 81.99%, T_TST= 74.58%
     E:083/300 #B:015, t=019.59m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.70%, S_TST= 82.04%, T_TST= 74.55%
     E:084/300 #B:015, t=019.82m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.76%, S_TST= 82.01%, T_TST= 74.55%
     E:085/300 #B:015, t=020.04m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 75.10%, S_TST= 82.01%, T_TST= 74.55%
     E:086/300 #B:015, t=020.25m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.11%, S_TST= 82.01%, T_TST= 74.55%
     E:087/300 #B:015, t=020.44m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.19%, S_TST= 82.01%, T_TST= 74.55%
     E:088/300 #B:015, t=020.67m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.28%, S_TST= 82.01%, T_TST= 74.56%
     E:089/300 #B:015, t=020.90m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.71%, S_TST= 82.04%, T_TST= 74.55%
     E:090/300 #B:015, t=021.13m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 71.61%, S_TST= 82.04%, T_TST= 74.55%
     E:091/300 #B:015, t=021.34m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.92%, S_TST= 82.01%, T_TST= 74.49%
     E:092/300 #B:015, t=021.57m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.86%, S_TST= 82.04%, T_TST= 74.48%
     E:093/300 #B:015, t=021.79m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.81%, S_TST= 82.01%, T_TST= 74.49%
     E:094/300 #B:015, t=022.00m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.33%, S_TST= 82.04%, T_TST= 74.51%
     E:095/300 #B:015, t=022.21m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.23%, S_TST= 82.04%, T_TST= 74.49%
     E:096/300 #B:015, t=022.42m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.39%, S_TST= 82.04%, T_TST= 74.55%
     E:097/300 #B:015, t=022.66m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 70.89%, S_TST= 82.04%, T_TST= 74.56%
     E:098/300 #B:015, t=022.90m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.06%, S_TST= 82.04%, T_TST= 74.53%
     E:099/300 #B:015, t=023.10m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.38%, S_TST= 82.04%, T_TST= 74.55%
     E:100/300 #B:015, t=023.34m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.17%, S_TST= 82.04%, T_TST= 74.53%
     E:101/300 #B:015, t=023.55m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.80%, S_TST= 82.04%, T_TST= 74.53%
**   E:102/300 #B:015, t=023.78m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.50%, S_TST= 82.26%, T_TST= 74.07%
     E:103/300 #B:015, t=024.06m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.74%, S_TST= 82.24%, T_TST= 74.07%
     E:104/300 #B:015, t=024.28m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.70%, S_TST= 82.18%, T_TST= 74.09%
     E:105/300 #B:015, t=024.48m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.44%, S_TST= 82.15%, T_TST= 74.04%
     E:106/300 #B:015, t=024.71m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.32%, S_TST= 82.12%, T_TST= 74.04%
     E:107/300 #B:015, t=024.95m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.39%, S_TST= 82.12%, T_TST= 74.04%
     E:108/300 #B:015, t=025.16m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.11%, S_TST= 82.15%, T_TST= 74.04%
     E:109/300 #B:015, t=025.39m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.71%, S_TST= 82.10%, T_TST= 74.05%
     E:110/300 #B:015, t=025.60m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.34%, S_TST= 82.12%, T_TST= 74.05%
     E:111/300 #B:015, t=025.85m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 75.00%, S_TST= 82.10%, T_TST= 74.09%
     E:112/300 #B:015, t=026.11m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.64%, S_TST= 82.07%, T_TST= 74.09%
     E:113/300 #B:015, t=026.31m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.86%, S_TST= 82.07%, T_TST= 74.07%
     E:114/300 #B:015, t=026.54m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.34%, S_TST= 82.10%, T_TST= 74.07%
     E:115/300 #B:015, t=026.79m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 71.98%, S_TST= 82.01%, T_TST= 74.09%
     E:116/300 #B:015, t=027.00m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 72.40%, S_TST= 82.01%, T_TST= 74.12%
     E:117/300 #B:015, t=027.19m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.59%, S_TST= 82.01%, T_TST= 74.09%
     E:118/300 #B:015, t=027.45m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.80%, S_TST= 81.99%, T_TST= 74.09%
     E:119/300 #B:015, t=027.66m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 71.46%, S_TST= 82.01%, T_TST= 74.12%
     E:120/300 #B:015, t=027.86m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.79%, S_TST= 82.01%, T_TST= 74.12%
     E:121/300 #B:015, t=028.05m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.33%, S_TST= 82.01%, T_TST= 74.14%
     E:122/300 #B:015, t=028.27m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 73.18%, S_TST= 82.01%, T_TST= 74.14%
     E:123/300 #B:015, t=028.52m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.95%, S_TST= 82.01%, T_TST= 74.14%
     E:124/300 #B:015, t=028.74m, L=00.0000, ACC : S_TRN= 100.00%, T_TRN= 74.90%, S_TST= 82.04%, T_TST= 74.14%
